Event,Date,Status,Tickets Sold,Tickets Available
HAKTAN DEVRİM ÖZTÜRK,Repeating Event,Draft,0,0
Copy of HAKTAN DEVRİM ÖZTÜRK,Repeating Event,Draft,0,0
